1. open,2. high,3. low,4. close,5. volume
423.8,423.84,423.55,423.77,258.0
423.55,423.75,423.55,423.68,212.0
423.58,423.8,423.55,423.6,156.0
423.84,423.84,423.55,423.58,194.0
423.56,423.9,423.56,423.675,288.0
423.8,423.91,423.55,423.55,490.0
423.73,423.89,423.55,423.8,316.0
423.73,423.91,423.55,423.7,436.0
423.69,423.8,423.61,423.66,259.0
423.54,423.88,423.53,423.8,45.0
423.22,423.55,423.22,423.55,8.0
423.6,423.85,423.535,423.85,891.0
423.52,423.88,423.42,423.45,153.0
423.8,423.88,423.15,423.515,115.0
423.35,423.84,423.35,423.84,325.0
423.25,423.89,423.25,423.35,217.0
423.75,423.87,423.53,423.87,95.0
423.61,423.91,423.15,423.59,53.0
423.5,423.84,423.1,423.53,79.0
423.65,423.91,423.1,423.86,103.0
423.58,423.91,423.1,423.65,654.0
423.37,423.66,423.1,423.66,270.0
423.4,423.48,423.1,423.48,55.0
423.1,423.7,423.1,423.48,58.0
423.56,423.7,423.1,423.3,42.0
423.53,423.56,423.1,423.375,56.0
423.49,423.56,423.1,423.39,322.0
423.385,423.7,423.22,423.49,423.0
423.3,423.684,423.086,423.684,53.0
423.5,423.7,423.07,423.49,23.0
423.385,423.7,423.07,423.7,133.0
423.38,423.6,423.07,423.385,557.0
423.28,423.52,423.28,423.425,80.0
423.375,423.375,423.26,423.375,13.0
423.335,423.6,423.15,423.6,108.0
423.49,423.5,423.28,423.28,502.0
423.28,423.84,423.175,423.5,891.0
423.07,423.34,423.07,423.28,79.0
423.07,423.5,423.07,423.5,44.0
423.0,423.5,423.0,423.285,118.0
423.25,423.5,423.0,423.5,54.0
423.15,423.3,423.0,423.25,726.0
423.075,423.225,423.0,423.19,575.0
423.075,423.15,423.0,423.0,12.0
423.075,423.075,423.0,423.075,2028.0
423.001,423.15,423.001,423.075,12.0
423.075,423.15,423.0,423.075,123.0
423.075,423.15,423.0,423.075,16.0
423.15,423.17,423.03,423.03,306.0
423.3,423.3,423.185,423.185,543.0
423.225,423.3,423.225,423.23,17.0
423.14,423.225,423.08,423.225,520.0
423.15,423.3,423.0,423.0,300.0
423.008,423.3,423.0,423.29,115.0
423.15,423.29,423.0,423.14,109.0
423.225,423.29,423.14,423.15,28.0
423.21,423.3,423.15,423.16,217.0
423.225,423.3,423.15,423.225,39.0
423.21,423.23,423.15,423.23,173.0
423.25,423.25,423.0,423.0,20.0
423.3,423.3,423.069,423.15,62.0
423.0,423.3,423.0,423.3,25.0
423.3,423.3,423.0,423.27,123.0
423.44,423.9,423.3,423.3,1232.0
423.45,423.45,423.375,423.4,158.0
423.45,423.45,423.3,423.375,45.0
423.375,423.45,423.375,423.4,38.0
423.375,423.42,423.3,423.375,348.0
423.3,423.45,423.3,423.375,41.0
423.375,423.45,423.3,423.3,34.0
423.35,423.45,423.3,423.3,23.0
423.375,423.375,423.3,423.35,261.0
423.37,423.375,423.3,423.32,48.0
423.44,423.44,423.31,423.37,160.0
423.4,423.4,423.31,423.37,5.0
423.4,423.45,423.304,423.4,135.0
423.4,423.446,423.3,423.446,180.0
423.35,423.4,423.3,423.35,49.0
423.31,423.4,423.3,423.35,44.0
423.375,423.375,423.3,423.375,8.0
423.3,423.45,423.3,423.375,1105.0
423.275,423.3,423.2,423.26,172.0
423.1,423.3,423.1,423.275,637.0
423.165,423.25,423.1,423.1,8.0
423.1,423.25,423.08,423.165,109.0
423.165,423.25,423.1,423.165,113.0
423.165,423.165,423.1,423.1,3.0
423.165,423.165,423.08,423.1,24.0
423.2,423.2,423.08,423.165,55.0
423.165,423.2,423.08,423.2,17.0
423.19,423.19,423.165,423.165,6.0
423.19,423.3,423.08,423.3,14.0
423.3,423.3,423.08,423.08,125.0
423.19,423.3,423.08,423.2,86.0
423.26,423.26,423.19,423.19,56.0
423.08,423.25,423.08,423.19,33.0
423.13,423.165,423.05,423.165,58.0
423.04,423.25,423.0,423.19,397.0
423.0,423.25,423.0,423.03,122.0
423.004,423.25,423.0,423.12,225.0
422.92,423.125,422.92,423.125,106.0
423.085,423.085,423.02,423.07,25.0
422.95,423.1,422.92,423.085,127.0
422.95,423.25,422.95,423.01,180.0
423.07,423.1,423.007,423.007,80.0
423.08,423.25,423.01,423.01,51.0
423.09,423.09,422.92,423.085,15.0
423.085,423.085,422.92,423.085,34.0
423.125,423.25,423.0,423.1,40.0
423.01,423.12,422.96,423.12,933.0
422.92,423.08,422.92,422.92,186.0
422.93,423.08,422.92,423.08,788.0
422.9,422.985,422.85,422.985,99.0
422.95,422.965,422.9,422.965,31.0
422.965,422.965,422.85,422.96,113.0
422.96,423.064,422.85,422.91,29.0
422.92,422.96,422.85,422.85,70.0
422.92,422.97,422.85,422.96,40.0
422.85,423.07,422.85,422.85,40.0
422.85,423.08,422.85,423.08,263.0
422.93,423.0,422.91,422.965,89.0
423.08,423.08,422.9,422.96,239.0
422.9,422.99,422.9,422.97,98.0
422.85,422.99,422.85,422.99,152.0
422.965,423.08,422.95,422.95,1423.0
422.965,423.0,422.85,422.965,84.0
422.925,423.08,422.925,423.08,201.0
422.99,423.0,422.85,422.925,21.0
423.0,423.08,422.9,423.0,452.0
422.85,423.04,422.85,423.0,247.0
422.965,423.08,422.85,422.965,62.0
422.97,422.99,422.96,422.98,171.0
422.975,422.975,422.95,422.97,227.0
422.97,422.998,422.94,422.975,56.0
422.93,422.97,422.93,422.96,211.0
422.91,423.0,422.91,423.0,71.0
422.995,423.0,422.91,422.95,101.0
422.965,423.08,422.91,423.08,104.0
422.955,422.965,422.86,422.9,42.0
422.85,422.96,422.85,422.955,45.0
422.86,422.96,422.85,422.96,42.0
422.86,422.94,422.86,422.86,313.0
422.95,422.96,422.86,422.91,163.0
422.86,422.95,422.86,422.91,588.0
422.86,423.0,422.86,422.86,379.0
422.965,422.965,422.85,422.95,34.0
423.0,423.08,422.85,422.965,104.0
423.08,423.08,422.85,423.0,709233.0
422.925,423.0,422.85,422.99,218.0
422.925,422.925,422.85,422.85,553.0
422.88,422.925,422.85,422.925,153.0
422.91,422.97,422.87,422.87,76.0
422.95,422.97,422.85,422.97,210.0
422.915,422.98,422.85,422.96,241.0
422.91,422.98,422.85,422.915,23.0
422.97,422.98,422.91,422.915,11.0
422.85,423.01,422.85,422.89,38.0
422.99,423.13,422.85,422.99,64.0
422.99,423.13,422.864,422.864,64.0
422.99,423.13,422.85,422.98,53.0
423.123,423.13,422.85,422.99,26.0
423.12,423.14,422.75,423.12,3244.0
423.13,423.14,423.1,423.12,317.0
423.15,423.2,423.12,423.12,388.0
423.15,423.2,423.12,423.13,77.0
423.13,423.2,423.1,423.1,502.0
423.12,423.18,423.11,423.11,223.0
423.13,423.15,423.11,423.11,145.0
